WorkOrderID,Timestamp,ProductID,ProcessStep,MachineID,InputWeight_kg,GoodWeight_kg,ScrapWeight_kg,DurationHrs,EnergyConsumed_kWh,LossRateAssumed
WO-2024-M12-00006,2023-12-31,P-M12-EH-001,盤元進料/酸洗,盤元-M4,2254.8,2243.53,11.27,1.2,32.16,0.005
WO-2024-M12-00006,2023-12-31,P-M12-EH-001,抽線,抽線-M1,2243.53,2209.88,33.65,6.3,192.96,0.015
WO-2024-M12-00006,2023-12-31,P-M12-EH-001,成型,成型-M4,2209.88,2143.58,66.3,27.7,289.44,0.03
WO-2024-M12-00006,2023-12-31,P-M12-EH-001,檢測與包裝,檢測-M3,2143.58,2132.86,10.72,5.6,128.64,0.005
WO-2024-M12-00007,2023-12-31,P-M12-EH-001,盤元進料/酸洗,盤元-M1,1818.4,1809.31,9.09,1.6,25.94,0.005
WO-2024-M12-00007,2023-12-31,P-M12-EH-001,抽線,抽線-M4,1809.31,1782.17,27.14,3.2,155.62,0.015
WO-2024-M12-00007,2023-12-31,P-M12-EH-001,成型,成型-M5,1782.17,1728.7,53.47,11.1,233.43,0.03
WO-2024-M12-00007,2023-12-31,P-M12-EH-001,檢測與包裝,檢測-M2,1728.7,1720.06,8.64,4.8,103.74,0.005
WO-2024-M10-00008,2023-12-31,P-M10-BN-002,盤元進料/酸洗,盤元-M1,634.2,631.03,3.17,0.3,10.01,0.005
WO-2024-M10-00008,2023-12-31,P-M10-BN-002,抽線,抽線-M2,631.03,621.56,9.47,3.5,60.04,0.015
WO-2024-M10-00008,2023-12-31,P-M10-BN-002,成型,成型-M5,621.56,602.91,18.65,3.3,90.07,0.03
WO-2024-M10-00008,2023-12-31,P-M10-BN-002,檢測與包裝,檢測-M3,602.91,599.9,3.01,1.8,40.03,0.005
WO-2024-M10-00009,2023-12-31,P-M10-BN-002,盤元進料/酸洗,盤元-M5,516.2,513.62,2.58,0.3,8.15,0.005
WO-2024-M10-00009,2023-12-31,P-M10-BN-002,抽線,抽線-M4,513.62,505.92,7.7,3,48.87,0.015
WO-2024-M10-00009,2023-12-31,P-M10-BN-002,成型,成型-M1,505.92,490.74,15.18,3,73.31,0.03
WO-2024-M10-00009,2023-12-31,P-M10-BN-002,檢測與包裝,檢測-M3,490.74,488.29,2.45,1,32.58,0.005
WO-2024-CS-00010,2023-12-31,P-CS-BS-003,盤元進料/酸洗,盤元-M2,8182.4,8141.49,40.91,5.9,129.5,0.005
WO-2024-CS-00010,2023-12-31,P-CS-BS-003,抽線,抽線-M3,8141.49,8019.37,122.12,18.7,776.98,0.015
WO-2024-CS-00010,2023-12-31,P-CS-BS-003,成型,成型-M2,8019.37,7778.79,240.58,38.9,1165.46,0.03
WO-2024-CS-00010,2023-12-31,P-CS-BS-003,檢測與包裝,檢測-M3,7778.79,7739.9,38.89,23.6,517.98,0.005
WO-2024-M10-00011,2023-12-31,P-M10-BN-002,盤元進料/酸洗,盤元-M2,471.2,468.84,2.36,0.2,7.44,0.005
WO-2024-M10-00011,2023-12-31,P-M10-BN-002,抽線,抽線-M5,468.84,461.81,7.03,1.7,44.61,0.015
WO-2024-M10-00011,2023-12-31,P-M10-BN-002,成型,成型-M5,461.81,447.96,13.85,1.5,66.92,0.03
WO-2024-M10-00011,2023-12-31,P-M10-BN-002,檢測與包裝,檢測-M4,447.96,445.72,2.24,1.4,29.74,0.005
WO-2024-M12-00012,2023-12-31,P-M12-EH-001,盤元進料/酸洗,盤元-M5,1144.6,1138.88,5.72,0.5,16.33,0.005
WO-2024-M12-00012,2023-12-31,P-M12-EH-001,抽線,抽線-M1,1138.88,1121.8,17.08,7,97.96,0.015
WO-2024-M12-00012,2023-12-31,P-M12-EH-001,成型,成型-M2,1121.8,1088.15,33.65,5.4,146.93,0.03
WO-2024-M12-00012,2023-12-31,P-M12-EH-001,檢測與包裝,檢測-M3,1088.15,1082.71,5.44,1.8,65.3,0.005
WO-2024-CS-00013,2023-12-31,P-CS-BS-003,盤元進料/酸洗,盤元-M2,10838.2,10784.01,54.19,6.2,171.53,0.005
WO-2024-CS-00013,2023-12-31,P-CS-BS-003,抽線,抽線-M4,10784.01,10622.25,161.76,66.3,1029.16,0.015
WO-2024-CS-00013,2023-12-31,P-CS-BS-003,成型,成型-M5,10622.25,10303.58,318.67,43.5,1543.74,0.03
WO-2024-CS-00013,2023-12-31,P-CS-BS-003,檢測與包裝,檢測-M2,10303.58,10252.06,51.52,29.9,686.11,0.005
WO-2024-CS-00014,2023-12-31,P-CS-BS-003,盤元進料/酸洗,盤元-M5,13569.1,13501.25,67.85,9.9,214.75,0.005
WO-2024-CS-00014,2023-12-31,P-CS-BS-003,抽線,抽線-M4,13501.25,13298.73,202.52,27.2,1288.48,0.015
WO-2024-CS-00014,2023-12-31,P-CS-BS-003,成型,成型-M4,13298.73,12899.77,398.96,39.9,1932.72,0.03
WO-2024-CS-00014,2023-12-31,P-CS-BS-003,檢測與包裝,檢測-M4,12899.77,12835.27,64.5,19,858.99,0.005
WO-2024-M10-00015,2023-12-31,P-M10-BN-002,盤元進料/酸洗,盤元-M2,289.7,288.25,1.45,0.2,4.57,0.005
WO-2024-M10-00015,2023-12-31,P-M10-BN-002,抽線,抽線-M1,288.25,283.93,4.32,0.7,27.43,0.015
WO-2024-M10-00015,2023-12-31,P-M10-BN-002,成型,成型-M2,283.93,275.41,8.52,0.9,41.15,0.03
WO-2024-M10-00015,2023-12-31,P-M10-BN-002,檢測與包裝,檢測-M3,275.41,274.03,1.38,0.4,18.29,0.005
WO-2024-M12-00016,2023-12-31,P-M12-EH-001,盤元進料/酸洗,盤元-M4,2075.9,2065.52,10.38,1.3,29.61,0.005
WO-2024-M12-00016,2023-12-31,P-M12-EH-001,抽線,抽線-M1,2065.52,2034.54,30.98,7.6,177.65,0.015
WO-2024-M12-00016,2023-12-31,P-M12-EH-001,成型,成型-M2,2034.54,1973.5,61.04,7.6,266.47,0.03
WO-2024-M12-00016,2023-12-31,P-M12-EH-001,檢測與包裝,檢測-M2,1973.5,1963.63,9.87,3.7,118.43,0.005
WO-2024-M12-00017,2023-12-31,P-M12-EH-001,盤元進料/酸洗,盤元-M5,3228.2,3212.06,16.14,2.1,46.04,0.005
WO-2024-M12-00017,2023-12-31,P-M12-EH-001,抽線,抽線-M5,3212.06,3163.88,48.18,7.7,276.26,0.015
WO-2024-M12-00017,2023-12-31,P-M12-EH-001,成型,成型-M5,3163.88,3068.96,94.92,17.5,414.39,0.03
WO-2024-M12-00017,2023-12-31,P-M12-EH-001,檢測與包裝,檢測-M4,3068.96,3053.62,15.34,4.9,184.17,0.005
WO-2024-M10-00018,2023-12-31,P-M10-BN-002,盤元進料/酸洗,盤元-M5,208.4,207.36,1.04,0.1,3.29,0.005
WO-2024-M10-00018,2023-12-31,P-M10-BN-002,抽線,抽線-M2,207.36,204.25,3.11,0.5,19.73,0.015
WO-2024-M10-00018,2023-12-31,P-M10-BN-002,成型,成型-M1,204.25,198.12,6.13,0.8,29.6,0.03
WO-2024-M10-00018,2023-12-31,P-M10-BN-002,檢測與包裝,檢測-M1,198.12,197.13,0.99,0.4,13.16,0.005
WO-2024-M10-00019,2023-12-31,P-M10-BN-002,盤元進料/酸洗,盤元-M1,577.2,574.31,2.89,0.2,9.11,0.005
WO-2024-M10-00019,2023-12-31,P-M10-BN-002,抽線,抽線-M2,574.31,565.7,8.61,1.2,54.65,0.015
WO-2024-M10-00019,2023-12-31,P-M10-BN-002,成型,成型-M5,565.7,548.73,16.97,3.5,81.97,0.03
WO-2024-M10-00019,2023-12-31,P-M10-BN-002,檢測與包裝,檢測-M2,548.73,545.99,2.74,0.8,36.43,0.005
WO-2024-CS-00020,2024-01-01,P-CS-BS-003,盤元進料/酸洗,盤元-M2,11252.4,11196.14,56.26,14.8,178.08,0.005
WO-2024-CS-00020,2024-01-01,P-CS-BS-003,抽線,抽線-M4,11196.14,11028.2,167.94,44.8,1068.48,0.015
WO-2024-CS-00020,2024-01-01,P-CS-BS-003,成型,成型-M3,11028.2,10697.35,330.85,48.1,1602.73,0.03
WO-2024-CS-00020,2024-01-01,P-CS-BS-003,檢測與包裝,檢測-M4,10697.35,10643.86,53.49,14.6,712.32,0.005
WO-2024-CS-00021,2024-01-01,P-CS-BS-003,盤元進料/酸洗,盤元-M4,5691.4,5662.94,28.46,1.9,90.07,0.005
WO-2024-CS-00021,2024-01-01,P-CS-BS-003,抽線,抽線-M4,5662.94,5578,84.94,29.6,540.44,0.015
WO-2024-CS-00021,2024-01-01,P-CS-BS-003,成型,成型-M2,5578,5410.66,167.34,18.9,810.66,0.03
WO-2024-CS-00021,2024-01-01,P-CS-BS-003,檢測與包裝,檢測-M5,5410.66,5383.61,27.05,8.7,360.29,0.005
WO-2024-M10-00022,2024-01-01,P-M10-BN-002,盤元進料/酸洗,盤元-M3,506.6,504.07,2.53,0.2,7.99,0.005
WO-2024-M10-00022,2024-01-01,P-M10-BN-002,抽線,抽線-M5,504.07,496.51,7.56,1,47.97,0.015
WO-2024-M10-00022,2024-01-01,P-M10-BN-002,成型,成型-M1,496.51,481.61,14.9,2.9,71.95,0.03
WO-2024-M10-00022,2024-01-01,P-M10-BN-002,檢測與包裝,檢測-M4,481.61,479.2,2.41,1.5,31.98,0.005
WO-2024-CS-00023,2024-01-01,P-CS-BS-003,盤元進料/酸洗,盤元-M1,5906.2,5876.67,29.53,2.6,93.47,0.005
WO-2024-CS-00023,2024-01-01,P-CS-BS-003,抽線,抽線-M3,5876.67,5788.52,88.15,21.2,560.83,0.015
WO-2024-CS-00023,2024-01-01,P-CS-BS-003,成型,成型-M4,5788.52,5614.86,173.66,73.7,841.25,0.03
WO-2024-CS-00023,2024-01-01,P-CS-BS-003,檢測與包裝,檢測-M1,5614.86,5586.79,28.07,9.2,373.89,0.005
WO-2024-M10-00024,2024-01-01,P-M10-BN-002,盤元進料/酸洗,盤元-M3,349.1,347.35,1.75,0.2,5.51,0.005
WO-2024-M10-00024,2024-01-01,P-M10-BN-002,抽線,抽線-M4,347.35,342.14,5.21,1.7,33.05,0.015
WO-2024-M10-00024,2024-01-01,P-M10-BN-002,成型,成型-M3,342.14,331.88,10.26,1.1,49.58,0.03
WO-2024-M10-00024,2024-01-01,P-M10-BN-002,檢測與包裝,檢測-M2,331.88,330.22,1.66,0.5,22.04,0.005
WO-2024-CS-00025,2024-01-01,P-CS-BS-003,盤元進料/酸洗,盤元-M3,13070.8,13005.45,65.35,9.6,206.86,0.005
WO-2024-CS-00025,2024-01-01,P-CS-BS-003,抽線,抽線-M2,13005.45,12810.37,195.08,30,1241.15,0.015
WO-2024-CS-00025,2024-01-01,P-CS-BS-003,成型,成型-M3,12810.37,12426.06,384.31,48.3,1861.73,0.03
WO-2024-CS-00025,2024-01-01,P-CS-BS-003,檢測與包裝,檢測-M5,12426.06,12363.93,62.13,38.6,827.44,0.005
WO-2024-M12-00026,2024-01-01,P-M12-EH-001,盤元進料/酸洗,盤元-M1,2225.7,2214.57,11.13,1.4,31.75,0.005
WO-2024-M12-00026,2024-01-01,P-M12-EH-001,抽線,抽線-M3,2214.57,2181.35,33.22,4.4,190.47,0.015
WO-2024-M12-00026,2024-01-01,P-M12-EH-001,成型,成型-M4,2181.35,2115.91,65.44,7.6,285.71,0.03
WO-2024-M12-00026,2024-01-01,P-M12-EH-001,檢測與包裝,檢測-M4,2115.91,2105.33,10.58,3.9,126.98,0.005
WO-2024-M10-00027,2024-01-01,P-M10-BN-002,盤元進料/酸洗,盤元-M3,688.9,685.46,3.44,0.5,10.87,0.005
WO-2024-M10-00027,2024-01-01,P-M10-BN-002,抽線,抽線-M1,685.46,675.18,10.28,2.7,65.23,0.015
WO-2024-M10-00027,2024-01-01,P-M10-BN-002,成型,成型-M5,675.18,654.92,20.26,2.4,97.84,0.03
WO-2024-M10-00027,2024-01-01,P-M10-BN-002,檢測與包裝,檢測-M5,654.92,651.65,3.27,3.6,43.48,0.005
WO-2024-CS-00028,2024-01-01,P-CS-BS-003,盤元進料/酸洗,盤元-M2,10125.1,10074.47,50.63,6,160.24,0.005
WO-2024-CS-00028,2024-01-01,P-CS-BS-003,抽線,抽線-M4,10074.47,9923.35,151.12,77.7,961.44,0.015
WO-2024-CS-00028,2024-01-01,P-CS-BS-003,成型,成型-M3,9923.35,9625.65,297.7,43.3,1442.17,0.03
WO-2024-CS-00028,2024-01-01,P-CS-BS-003,檢測與包裝,檢測-M3,9625.65,9577.52,48.13,44.7,640.96,0.005
WO-2024-M10-00029,2024-01-01,P-M10-BN-002,盤元進料/酸洗,盤元-M4,593.8,590.83,2.97,0.4,9.37,0.005
WO-2024-M10-00029,2024-01-01,P-M10-BN-002,抽線,抽線-M4,590.83,581.97,8.86,1.9,56.22,0.015
WO-2024-M10-00029,2024-01-01,P-M10-BN-002,成型,成型-M2,581.97,564.51,17.46,5.3,84.33,0.03
WO-2024-M10-00029,2024-01-01,P-M10-BN-002,檢測與包裝,檢測-M5,564.51,561.69,2.82,0.8,37.48,0.005
WO-2024-M10-00030,2024-01-01,P-M10-BN-002,盤元進料/酸洗,盤元-M1,425,422.87,2.13,0.5,6.71,0.005
WO-2024-M10-00030,2024-01-01,P-M10-BN-002,抽線,抽線-M4,422.87,416.53,6.34,0.9,40.24,0.015
WO-2024-M10-00030,2024-01-01,P-M10-BN-002,成型,成型-M2,416.53,404.03,12.5,1.5,60.37,0.03
WO-2024-M10-00030,2024-01-01,P-M10-BN-002,檢測與包裝,檢測-M3,404.03,402.01,2.02,0.8,26.83,0.005
WO-2024-M10-00031,2024-01-01,P-M10-BN-002,盤元進料/酸洗,盤元-M3,442.9,440.69,2.21,0.5,6.99,0.005
WO-2024-M10-00031,2024-01-01,P-M10-BN-002,抽線,抽線-M3,440.69,434.08,6.61,1.5,41.93,0.015
WO-2024-M10-00031,2024-01-01,P-M10-BN-002,成型,成型-M2,434.08,421.06,13.02,2.4,62.9,0.03
WO-2024-M10-00031,2024-01-01,P-M10-BN-002,檢測與包裝,檢測-M5,421.06,418.95,2.11,1.1,27.96,0.005
WO-2024-CS-00032,2024-01-01,P-CS-BS-003,盤元進料/酸洗,盤元-M4,13783.6,13714.68,68.92,16.7,218.14,0.005
WO-2024-CS-00032,2024-01-01,P-CS-BS-003,抽線,抽線-M3,13714.68,13508.96,205.72,38.3,1308.85,0.015
WO-2024-CS-00032,2024-01-01,P-CS-BS-003,成型,成型-M2,13508.96,13103.69,405.27,48.5,1963.27,0.03
WO-2024-CS-00032,2024-01-01,P-CS-BS-003,檢測與包裝,檢測-M2,13103.69,13038.17,65.52,66.4,872.56,0.005
WO-2024-M10-00033,2024-01-01,P-M10-BN-002,盤元進料/酸洗,盤元-M5,570.7,567.85,2.85,0.7,9.01,0.005
WO-2024-M10-00033,2024-01-01,P-M10-BN-002,抽線,抽線-M5,567.85,559.33,8.52,2.7,54.04,0.015
WO-2024-M10-00033,2024-01-01,P-M10-BN-002,成型,成型-M2,559.33,542.55,16.78,6.4,81.06,0.03
WO-2024-M10-00033,2024-01-01,P-M10-BN-002,檢測與包裝,檢測-M1,542.55,539.84,2.71,2,36.03,0.005
WO-2024-M10-00034,2024-01-01,P-M10-BN-002,盤元進料/酸洗,盤元-M2,240.5,239.3,1.2,0.1,3.79,0.005
WO-2024-M10-00034,2024-01-01,P-M10-BN-002,抽線,抽線-M4,239.3,235.71,3.59,0.7,22.77,0.015
WO-2024-M10-00034,2024-01-01,P-M10-BN-002,成型,成型-M1,235.71,228.64,7.07,1.3,34.15,0.03
WO-2024-M10-00034,2024-01-01,P-M10-BN-002,檢測與包裝,檢測-M2,228.64,227.5,1.14,0.4,15.18,0.005
WO-2024-M10-00035,2024-01-01,P-M10-BN-002,盤元進料/酸洗,盤元-M2,819.4,815.3,4.1,0.3,12.93,0.005
WO-2024-M10-00035,2024-01-01,P-M10-BN-002,抽線,抽線-M2,815.3,803.07,12.23,2.2,77.58,0.015
WO-2024-M10-00035,2024-01-01,P-M10-BN-002,成型,成型-M4,803.07,778.98,24.09,2.4,116.38,0.03
WO-2024-M10-00035,2024-01-01,P-M10-BN-002,檢測與包裝,檢測-M2,778.98,775.09,3.89,1.2,51.72,0.005
WO-2024-CS-00036,2024-01-02,P-CS-BS-003,盤元進料/酸洗,盤元-M1,12415.9,12353.82,62.08,4.1,196.49,0.005
WO-2024-CS-00036,2024-01-02,P-CS-BS-003,抽線,抽線-M3,12353.82,12168.51,185.31,65.3,1178.97,0.015
WO-2024-CS-00036,2024-01-02,P-CS-BS-003,成型,成型-M3,12168.51,11803.45,365.06,148.6,1768.45,0.03
WO-2024-CS-00036,2024-01-02,P-CS-BS-003,檢測與包裝,檢測-M4,11803.45,11744.43,59.02,17.2,785.98,0.005
WO-2024-M12-00037,2024-01-02,P-M12-EH-001,盤元進料/酸洗,盤元-M3,2407.3,2395.26,12.04,2.1,34.34,0.005
WO-2024-M12-00037,2024-01-02,P-M12-EH-001,抽線,抽線-M2,2395.26,2359.33,35.93,13.3,206.02,0.015
WO-2024-M12-00037,2024-01-02,P-M12-EH-001,成型,成型-M4,2359.33,2288.55,70.78,7.9,309.02,0.03
WO-2024-M12-00037,2024-01-02,P-M12-EH-001,檢測與包裝,檢測-M4,2288.55,2277.11,11.44,3.8,137.34,0.005
WO-2024-CS-00038,2024-01-02,P-CS-BS-003,盤元進料/酸洗,盤元-M5,11219.8,11163.7,56.1,10.6,177.57,0.005
WO-2024-CS-00038,2024-01-02,P-CS-BS-003,抽線,抽線-M3,11163.7,10996.24,167.46,76.9,1065.39,0.015
WO-2024-CS-00038,2024-01-02,P-CS-BS-003,成型,成型-M3,10996.24,10666.35,329.89,159,1598.09,0.03
WO-2024-CS-00038,2024-01-02,P-CS-BS-003,檢測與包裝,檢測-M4,10666.35,10613.02,53.33,14.8,710.26,0.005
WO-2024-M10-00039,2024-01-02,P-M10-BN-002,盤元進料/酸洗,盤元-M4,535.2,532.52,2.68,0.3,8.45,0.005
WO-2024-M10-00039,2024-01-02,P-M10-BN-002,抽線,抽線-M5,532.52,524.53,7.99,1.3,50.67,0.015
WO-2024-M10-00039,2024-01-02,P-M10-BN-002,成型,成型-M3,524.53,508.79,15.74,3.5,76.01,0.03
WO-2024-M10-00039,2024-01-02,P-M10-BN-002,檢測與包裝,檢測-M2,508.79,506.25,2.54,0.7,33.78,0.005
WO-2024-CS-00040,2024-01-02,P-CS-BS-003,盤元進料/酸洗,盤元-M3,9346.3,9299.57,46.73,3.1,147.91,0.005
WO-2024-CS-00040,2024-01-02,P-CS-BS-003,抽線,抽線-M3,9299.57,9160.08,139.49,52.1,887.49,0.015
WO-2024-CS-00040,2024-01-02,P-CS-BS-003,成型,成型-M2,9160.08,8885.28,274.8,31.5,1331.23,0.03
WO-2024-CS-00040,2024-01-02,P-CS-BS-003,檢測與包裝,檢測-M4,8885.28,8840.85,44.43,12.9,591.66,0.005
WO-2024-CS-00041,2024-01-02,P-CS-BS-003,盤元進料/酸洗,盤元-M1,8242.4,8201.19,41.21,5.5,130.45,0.005
WO-2024-CS-00041,2024-01-02,P-CS-BS-003,抽線,抽線-M1,8201.19,8078.17,123.02,30.1,782.67,0.015
WO-2024-CS-00041,2024-01-02,P-CS-BS-003,成型,成型-M1,8078.17,7835.82,242.35,57.4,1174.01,0.03
WO-2024-CS-00041,2024-01-02,P-CS-BS-003,檢測與包裝,檢測-M5,7835.82,7796.64,39.18,10.6,521.78,0.005
WO-2024-M10-00042,2024-01-02,P-M10-BN-002,盤元進料/酸洗,盤元-M4,562.7,559.89,2.81,0.7,8.88,0.005
WO-2024-M10-00042,2024-01-02,P-M10-BN-002,抽線,抽線-M5,559.89,551.49,8.4,1.9,53.28,0.015
WO-2024-M10-00042,2024-01-02,P-M10-BN-002,成型,成型-M2,551.49,534.95,16.54,2.6,79.92,0.03
WO-2024-M10-00042,2024-01-02,P-M10-BN-002,檢測與包裝,檢測-M3,534.95,532.28,2.67,1,35.52,0.005
WO-2024-M10-00043,2024-01-02,P-M10-BN-002,盤元進料/酸洗,盤元-M2,180.2,179.3,0.9,0.1,2.84,0.005
WO-2024-M10-00043,2024-01-02,P-M10-BN-002,抽線,抽線-M1,179.3,176.61,2.69,1.6,17.06,0.015
WO-2024-M10-00043,2024-01-02,P-M10-BN-002,成型,成型-M2,176.61,171.31,5.3,1.9,25.59,0.03
WO-2024-M10-00043,2024-01-02,P-M10-BN-002,檢測與包裝,檢測-M1,171.31,170.45,0.86,0.4,11.37,0.005
WO-2024-CS-00044,2024-01-02,P-CS-BS-003,盤元進料/酸洗,盤元-M3,11677.3,11618.91,58.39,5.7,184.81,0.005
WO-2024-CS-00044,2024-01-02,P-CS-BS-003,抽線,抽線-M4,11618.91,11444.63,174.28,38.5,1108.84,0.015
WO-2024-CS-00044,2024-01-02,P-CS-BS-003,成型,成型-M4,11444.63,11101.29,343.34,73,1663.26,0.03
WO-2024-CS-00044,2024-01-02,P-CS-BS-003,檢測與包裝,檢測-M4,11101.29,11045.78,55.51,15.4,739.23,0.005
WO-2024-CS-00045,2024-01-02,P-CS-BS-003,盤元進料/酸洗,盤元-M3,13799,13730,69,11.3,218.38,0.005
WO-2024-CS-00045,2024-01-02,P-CS-BS-003,抽線,抽線-M5,13730,13524.05,205.95,29.7,1310.31,0.015
WO-2024-CS-00045,2024-01-02,P-CS-BS-003,成型,成型-M4,13524.05,13118.33,405.72,49.8,1965.46,0.03
WO-2024-CS-00045,2024-01-02,P-CS-BS-003,檢測與包裝,檢測-M3,13118.33,13052.74,65.59,58,873.54,0.005
WO-2024-M12-00046,2024-01-02,P-M12-EH-001,盤元進料/酸洗,盤元-M1,1642.2,1633.99,8.21,0.5,23.42,0.005
WO-2024-M12-00046,2024-01-02,P-M12-EH-001,抽線,抽線-M2,1633.99,1609.48,24.51,5.7,140.53,0.015
WO-2024-M12-00046,2024-01-02,P-M12-EH-001,成型,成型-M2,1609.48,1561.2,48.28,4.8,210.8,0.03
WO-2024-M12-00046,2024-01-02,P-M12-EH-001,檢測與包裝,檢測-M2,1561.2,1553.39,7.81,3.4,93.69,0.005
WO-2024-CS-00047,2024-01-03,P-CS-BS-003,盤元進料/酸洗,盤元-M1,5393,5366.04,26.96,4,85.35,0.005
WO-2024-CS-00047,2024-01-03,P-CS-BS-003,抽線,抽線-M4,5366.04,5285.55,80.49,11,512.1,0.015
WO-2024-CS-00047,2024-01-03,P-CS-BS-003,成型,成型-M2,5285.55,5126.98,158.57,55.9,768.15,0.03
WO-2024-CS-00047,2024-01-03,P-CS-BS-003,檢測與包裝,檢測-M1,5126.98,5101.35,25.63,9.9,341.4,0.005
WO-2024-M10-00048,2024-01-03,P-M10-BN-002,盤元進料/酸洗,盤元-M2,389.2,387.25,1.95,0.1,6.14,0.005
WO-2024-M10-00048,2024-01-03,P-M10-BN-002,抽線,抽線-M5,387.25,381.44,5.81,1.3,36.85,0.015
WO-2024-M10-00048,2024-01-03,P-M10-BN-002,成型,成型-M3,381.44,370,11.44,2.3,55.27,0.03
WO-2024-M10-00048,2024-01-03,P-M10-BN-002,檢測與包裝,檢測-M2,370,368.15,1.85,0.7,24.57,0.005
WO-2024-M12-00049,2024-01-03,P-M12-EH-001,盤元進料/酸洗,盤元-M3,2791.8,2777.84,13.96,1.5,39.82,0.005
WO-2024-M12-00049,2024-01-03,P-M12-EH-001,抽線,抽線-M4,2777.84,2736.17,41.67,9.9,238.92,0.015
WO-2024-M12-00049,2024-01-03,P-M12-EH-001,成型,成型-M5,2736.17,2654.08,82.09,9.1,358.38,0.03
WO-2024-M12-00049,2024-01-03,P-M12-EH-001,檢測與包裝,檢測-M5,2654.08,2640.81,13.27,4.8,159.28,0.005
WO-2024-M12-00050,2024-01-03,P-M12-EH-001,盤元進料/酸洗,盤元-M5,2645.8,2632.57,13.23,1.4,37.74,0.005
WO-2024-M12-00050,2024-01-03,P-M12-EH-001,抽線,抽線-M1,2632.57,2593.08,39.49,5,226.43,0.015
WO-2024-M12-00050,2024-01-03,P-M12-EH-001,成型,成型-M2,2593.08,2515.29,77.79,9.5,339.64,0.03
WO-2024-M12-00050,2024-01-03,P-M12-EH-001,檢測與包裝,檢測-M2,2515.29,2502.71,12.58,5.3,150.95,0.005
WO-2024-CS-00051,2024-01-03,P-CS-BS-003,盤元進料/酸洗,盤元-M3,11049.3,10994.05,55.25,8,174.87,0.005
WO-2024-CS-00051,2024-01-03,P-CS-BS-003,抽線,抽線-M2,10994.05,10829.14,164.91,104,1049.2,0.015
WO-2024-CS-00051,2024-01-03,P-CS-BS-003,成型,成型-M1,10829.14,10504.27,324.87,49.8,1573.8,0.03
WO-2024-CS-00051,2024-01-03,P-CS-BS-003,檢測與包裝,檢測-M3,10504.27,10451.75,52.52,48.3,699.47,0.005
WO-2024-M10-00052,2024-01-03,P-M10-BN-002,盤元進料/酸洗,盤元-M2,585.3,582.37,2.93,0.2,9.24,0.005
