PO_Number,Ref_WorkOrderID,ProductID,SupplierName,ProcessName,DispatchDate,InputWeight_kg,OutputWeight_kg,SupplierScope1_kgCO2e,SupplierScope2_kgCO2e,ProcessingFee_NTD
PO-2024-EXT-00007,WO-2024-CS-00004,P-CS-BS-003,允成表面處理股份有限公司,熱處理,2024-01-07,6622.5,6589.39,9167.16,15608.95,54966
PO-2024-EXT-00008,WO-2024-CS-00004,P-CS-BS-003,精斌企業股份有限公司,表面處理,2024-01-07,6622.5,6666.87,8186.92,12280.37,53840
PO-2024-EXT-00013,WO-2024-M12-00007,P-M12-EH-001,精斌企業股份有限公司,熱處理,2024-01-07,1818.4,1809.31,1201.38,4805.53,11110
PO-2024-EXT-00015,WO-2024-M10-00008,P-M10-BN-002,高裕熱處理股份有限公司,熱處理,2024-01-07,634.2,631.03,598.03,1616.89,6316
PO-2024-EXT-00024,WO-2024-M12-00012,P-M12-EH-001,高裕熱處理股份有限公司,表面處理,2024-01-07,1144.6,1149.06,622.56,2342.01,5219
PO-2024-EXT-00027,WO-2024-CS-00014,P-CS-BS-003,精斌企業股份有限公司,熱處理,2024-01-07,13569.1,13501.25,17389.61,26084.42,51155
PO-2024-EXT-00029,WO-2024-M10-00015,P-M10-BN-002,高裕熱處理股份有限公司,熱處理,2024-01-07,289.7,288.25,305.08,824.86,1775
PO-2024-EXT-00037,WO-2024-M10-00019,P-M10-BN-002,高裕熱處理股份有限公司,熱處理,2024-01-07,577.2,574.31,610.95,1651.83,2926
PO-2024-EXT-00050,WO-2024-CS-00025,P-CS-BS-003,高裕熱處理股份有限公司,表面處理,2024-01-07,13070.8,13120.47,16796.83,28600,54766
PO-2024-EXT-00057,WO-2024-M10-00029,P-M10-BN-002,允成表面處理股份有限公司,熱處理,2024-01-07,593.8,590.83,731.92,1194.19,5344
PO-2024-EXT-00065,WO-2024-M10-00033,P-M10-BN-002,允成表面處理股份有限公司,熱處理,2024-01-07,570.7,567.85,542.19,1206.79,4959
PO-2024-EXT-00077,WO-2024-M10-00039,P-M10-BN-002,高裕熱處理股份有限公司,熱處理,2024-01-07,535.2,532.52,589.93,1444.3,4538
PO-2024-EXT-00091,WO-2024-M12-00046,P-M12-EH-001,允成表面處理股份有限公司,熱處理,2024-01-07,1642.2,1633.99,1383.01,4630.07,8013
PO-2024-EXT-00105,WO-2024-CS-00053,P-CS-BS-003,高裕熱處理股份有限公司,熱處理,2024-01-07,5473.8,5446.43,4930.11,10973.47,23920
PO-2024-EXT-00106,WO-2024-CS-00053,P-CS-BS-003,高裕熱處理股份有限公司,表面處理,2024-01-07,5473.8,5484.75,4470.08,13410.21,49647
PO-2024-EXT-00107,WO-2024-CS-00054,P-CS-BS-003,允成表面處理股份有限公司,熱處理,2024-01-07,13637.1,13568.91,13418.29,32851.69,64776
PO-2024-EXT-00112,WO-2024-M10-00056,P-M10-BN-002,精斌企業股份有限公司,表面處理,2024-01-07,376.4,377.94,496.43,845.26,3301
PO-2024-EXT-00116,WO-2024-CS-00058,P-CS-BS-003,允成表面處理股份有限公司,表面處理,2024-01-07,9690.1,9763.74,9158.38,17008.44,31589
PO-2024-EXT-00118,WO-2024-M10-00059,P-M10-BN-002,允成表面處理股份有限公司,表面處理,2024-01-07,745.5,749.9,776.37,1900.77,4338
PO-2024-EXT-00119,WO-2024-M12-00060,P-M12-EH-001,允成表面處理股份有限公司,熱處理,2024-01-07,1730.7,1722.05,1164.45,3898.38,10349
PO-2024-EXT-00120,WO-2024-M12-00060,P-M12-EH-001,允成表面處理股份有限公司,表面處理,2024-01-07,1730.7,1737.1,1899.17,4649.7,13187
PO-2024-EXT-00124,WO-2024-M10-00062,P-M10-BN-002,精斌企業股份有限公司,表面處理,2024-01-07,383,385.3,237.49,795.11,2336
PO-2024-EXT-00125,WO-2024-CS-00063,P-CS-BS-003,允成表面處理股份有限公司,熱處理,2024-01-07,6532,6499.34,3977.6,12595.72,48924
PO-2024-EXT-00134,WO-2024-M10-00067,P-M10-BN-002,高裕熱處理股份有限公司,表面處理,2024-01-07,230.4,232.06,188.66,440.22,1050
PO-2024-EXT-00138,WO-2024-M10-00069,P-M10-BN-002,高裕熱處理股份有限公司,表面處理,2024-01-07,713.4,715.11,506.3,2025.19,3345
PO-2024-EXT-00139,WO-2024-M10-00070,P-M10-BN-002,精斌企業股份有限公司,熱處理,2024-01-07,384,382.08,379.4,885.28,3144
PO-2024-EXT-00141,WO-2024-M10-00071,P-M10-BN-002,允成表面處理股份有限公司,熱處理,2024-01-07,586.1,583.17,616.65,1197.01,2514
PO-2024-EXT-00147,WO-2024-CS-00074,P-CS-BS-003,高裕熱處理股份有限公司,熱處理,2024-01-07,8909.9,8865.35,8106.47,25670.51,82505
PO-2024-EXT-00150,WO-2024-M12-00075,P-M12-EH-001,高裕熱處理股份有限公司,表面處理,2024-01-07,2256.8,2266.28,2859.36,4868.65,19498
PO-2024-EXT-00157,WO-2024-M12-00079,P-M12-EH-001,允成表面處理股份有限公司,熱處理,2024-01-07,822.4,818.29,627.46,1696.48,7089
PO-2024-EXT-00161,WO-2024-CS-00081,P-CS-BS-003,高裕熱處理股份有限公司,熱處理,2024-01-07,11376,11319.12,12206.53,25938.9,64388
PO-2024-EXT-00169,WO-2024-M12-00085,P-M12-EH-001,高裕熱處理股份有限公司,熱處理,2024-01-07,2880.7,2866.3,2123.93,6045.03,24946
PO-2024-EXT-00170,WO-2024-M12-00085,P-M12-EH-001,高裕熱處理股份有限公司,表面處理,2024-01-07,2880.7,2892.22,3948.75,6723.54,16304
PO-2024-EXT-00174,WO-2024-CS-00087,P-CS-BS-003,精斌企業股份有限公司,表面處理,2024-01-07,3648.5,3674.04,3271,8008.3,27108
PO-2024-EXT-00186,WO-2024-M12-00093,P-M12-EH-001,精斌企業股份有限公司,表面處理,2024-01-07,1170.1,1173.03,1200.48,2330.34,8354
PO-2024-EXT-00210,WO-2024-M10-00105,P-M10-BN-002,允成表面處理股份有限公司,表面處理,2024-01-07,682.1,686.12,395.21,1580.82,5340
PO-2024-EXT-00217,WO-2024-M12-00109,P-M12-EH-001,高裕熱處理股份有限公司,熱處理,2024-01-07,2859,2844.7,2587.54,8193.87,19183
PO-2024-EXT-00040,WO-2024-CS-00020,P-CS-BS-003,高裕熱處理股份有限公司,表面處理,2024-01-08,11252.4,11292.91,10925.89,32777.67,77078
PO-2024-EXT-00041,WO-2024-CS-00021,P-CS-BS-003,精斌企業股份有限公司,熱處理,2024-01-08,5691.4,5662.94,7420.71,13192.39,44108
PO-2024-EXT-00042,WO-2024-CS-00021,P-CS-BS-003,允成表面處理股份有限公司,表面處理,2024-01-08,5691.4,5714.73,4728.94,14186.82,19407
PO-2024-EXT-00045,WO-2024-CS-00023,P-CS-BS-003,精斌企業股份有限公司,熱處理,2024-01-08,5906.2,5876.67,3723.46,11790.95,49789
PO-2024-EXT-00046,WO-2024-CS-00023,P-CS-BS-003,精斌企業股份有限公司,表面處理,2024-01-08,5906.2,5920.37,4233.07,12047.95,29235
PO-2024-EXT-00062,WO-2024-M10-00031,P-M10-BN-002,高裕熱處理股份有限公司,表面處理,2024-01-08,442.9,444.23,447.07,867.85,4163
PO-2024-EXT-00068,WO-2024-M10-00034,P-M10-BN-002,精斌企業股份有限公司,表面處理,2024-01-08,240.5,241.89,245.23,417.55,1250
PO-2024-EXT-00072,WO-2024-CS-00036,P-CS-BS-003,精斌企業股份有限公司,表面處理,2024-01-08,12415.9,12446.94,12610,25602.11,58230
PO-2024-EXT-00082,WO-2024-CS-00041,P-CS-BS-003,高裕熱處理股份有限公司,表面處理,2024-01-08,8242.4,8267.13,7626.43,22879.28,44591
PO-2024-EXT-00084,WO-2024-M10-00042,P-M10-BN-002,允成表面處理股份有限公司,表面處理,2024-01-08,562.7,564.84,472.89,1583.13,2042
PO-2024-EXT-00090,WO-2024-CS-00045,P-CS-BS-003,允成表面處理股份有限公司,表面處理,2024-01-08,13799,13870.75,17962.63,30585,118809
PO-2024-EXT-00102,WO-2024-CS-00051,P-CS-BS-003,高裕熱處理股份有限公司,表面處理,2024-01-08,11049.3,11090.18,15792.42,23688.62,72151
PO-2024-EXT-00110,WO-2024-CS-00055,P-CS-BS-003,精斌企業股份有限公司,表面處理,2024-01-08,3621.7,3641.26,3666.75,5982.59,29444
PO-2024-EXT-00111,WO-2024-M10-00056,P-M10-BN-002,精斌企業股份有限公司,熱處理,2024-01-08,376.4,374.52,366.73,711.89,1761
PO-2024-EXT-00113,WO-2024-CS-00057,P-CS-BS-003,精斌企業股份有限公司,熱處理,2024-01-08,11123.8,11068.18,8098.59,21896.18,66742
PO-2024-EXT-00121,WO-2024-M12-00061,P-M12-EH-001,精斌企業股份有限公司,熱處理,2024-01-08,1414.3,1407.23,1092.85,3874.67,10890
PO-2024-EXT-00122,WO-2024-M12-00061,P-M12-EH-001,高裕熱處理股份有限公司,表面處理,2024-01-08,1414.3,1420.95,1575.55,4051.41,8316
PO-2024-EXT-00126,WO-2024-CS-00063,P-CS-BS-003,高裕熱處理股份有限公司,表面處理,2024-01-08,6532,6564.66,9728.83,15216.88,52060
PO-2024-EXT-00127,WO-2024-M10-00064,P-M10-BN-002,允成表面處理股份有限公司,熱處理,2024-01-08,277.8,276.41,238.38,845.15,2505
PO-2024-EXT-00128,WO-2024-M10-00064,P-M10-BN-002,高裕熱處理股份有限公司,表面處理,2024-01-08,277.8,279.3,160.87,643.51,2214
PO-2024-EXT-00133,WO-2024-M10-00067,P-M10-BN-002,精斌企業股份有限公司,熱處理,2024-01-08,230.4,229.25,230.88,624.22,1460
PO-2024-EXT-00156,WO-2024-M12-00078,P-M12-EH-001,允成表面處理股份有限公司,表面處理,2024-01-08,2125.4,2140.7,1643.63,5827.41,7991
PO-2024-EXT-00158,WO-2024-M12-00079,P-M12-EH-001,精斌企業股份有限公司,表面處理,2024-01-08,822.4,827.09,1033.45,1919.26,4564
PO-2024-EXT-00171,WO-2024-M10-00086,P-M10-BN-002,允成表面處理股份有限公司,熱處理,2024-01-08,553.9,551.13,590.82,1255.47,2669
PO-2024-EXT-00183,WO-2024-M10-00092,P-M10-BN-002,高裕熱處理股份有限公司,熱處理,2024-01-08,715.2,711.62,575.42,1637.72,3783
PO-2024-EXT-00189,WO-2024-M10-00095,P-M10-BN-002,精斌企業股份有限公司,熱處理,2024-01-08,453.9,451.63,312.67,1046.74,2469
PO-2024-EXT-00193,WO-2024-M10-00097,P-M10-BN-002,精斌企業股份有限公司,熱處理,2024-01-08,887.6,883.16,919.45,2251.09,4837
PO-2024-EXT-00201,WO-2024-M12-00101,P-M12-EH-001,允成表面處理股份有限公司,熱處理,2024-01-08,1120.5,1114.9,936.51,2809.55,11092
PO-2024-EXT-00205,WO-2024-CS-00103,P-CS-BS-003,允成表面處理股份有限公司,熱處理,2024-01-08,3982.4,3962.49,3807.95,8475.77,27637
PO-2024-EXT-00229,WO-2024-M12-00115,P-M12-EH-001,精斌企業股份有限公司,熱處理,2024-01-08,720,716.4,566.31,1260.51,3211
PO-2024-EXT-00233,WO-2024-CS-00117,P-CS-BS-003,高裕熱處理股份有限公司,熱處理,2024-01-08,10479.5,10427.1,12053.73,18080.59,44013
PO-2024-EXT-00237,WO-2024-CS-00119,P-CS-BS-003,精斌企業股份有限公司,熱處理,2024-01-08,12644.1,12580.88,7688.17,28922.19,67772
PO-2024-EXT-00079,WO-2024-CS-00040,P-CS-BS-003,允成表面處理股份有限公司,熱處理,2024-01-09,9346.3,9299.57,6812.87,24154.7,29814
PO-2024-EXT-00080,WO-2024-CS-00040,P-CS-BS-003,高裕熱處理股份有限公司,表面處理,2024-01-09,9346.3,9366.86,8665.28,21215,83182
PO-2024-EXT-00085,WO-2024-M10-00043,P-M10-BN-002,允成表面處理股份有限公司,熱處理,2024-01-09,180.2,179.3,234.18,398.75,630
PO-2024-EXT-00088,WO-2024-CS-00044,P-CS-BS-003,精斌企業股份有限公司,表面處理,2024-01-09,11677.3,11761.38,8202.38,29081.19,87579
PO-2024-EXT-00096,WO-2024-M10-00048,P-M10-BN-002,精斌企業股份有限公司,表面處理,2024-01-09,389.2,392.27,409.53,1002.64,1451
PO-2024-EXT-00098,WO-2024-M12-00049,P-M12-EH-001,高裕熱處理股份有限公司,表面處理,2024-01-09,2791.8,2805.48,2325.18,5979.04,26159
PO-2024-EXT-00101,WO-2024-CS-00051,P-CS-BS-003,高裕熱處理股份有限公司,熱處理,2024-01-09,11049.3,10994.05,11433.81,32542.39,81322
PO-2024-EXT-00115,WO-2024-CS-00058,P-CS-BS-003,精斌企業股份有限公司,熱處理,2024-01-09,9690.1,9641.65,12485.94,23188.17,54070
PO-2024-EXT-00117,WO-2024-M10-00059,P-M10-BN-002,允成表面處理股份有限公司,熱處理,2024-01-09,745.5,741.77,582.29,1746.87,6485
PO-2024-EXT-00129,WO-2024-M12-00065,P-M12-EH-001,精斌企業股份有限公司,熱處理,2024-01-09,3244.7,3228.48,2562.77,6928.96,31992
PO-2024-EXT-00132,WO-2024-M12-00066,P-M12-EH-001,高裕熱處理股份有限公司,表面處理,2024-01-09,1027.5,1032.84,998.14,2121.04,7069
PO-2024-EXT-00154,WO-2024-M10-00077,P-M10-BN-002,允成表面處理股份有限公司,表面處理,2024-01-09,734,737.74,829.81,1412.92,6943
PO-2024-EXT-00160,WO-2024-M10-00080,P-M10-BN-002,精斌企業股份有限公司,表面處理,2024-01-09,565.8,567.89,346.13,1158.78,5533
PO-2024-EXT-00176,WO-2024-M12-00088,P-M12-EH-001,精斌企業股份有限公司,表面處理,2024-01-09,1549,1558.29,1233.7,3020.43,13925
PO-2024-EXT-00177,WO-2024-M12-00089,P-M12-EH-001,高裕熱處理股份有限公司,熱處理,2024-01-09,1458,1450.71,1736.5,2833.24,13369
PO-2024-EXT-00184,WO-2024-M10-00092,P-M10-BN-002,高裕熱處理股份有限公司,表面處理,2024-01-09,715.2,717.2,631.13,1893.41,6594
PO-2024-EXT-00191,WO-2024-M10-00096,P-M10-BN-002,允成表面處理股份有限公司,熱處理,2024-01-09,440,437.8,325.46,1224.35,3550
PO-2024-EXT-00192,WO-2024-M10-00096,P-M10-BN-002,允成表面處理股份有限公司,表面處理,2024-01-09,440,442.02,553.05,1073.58,2657
