InvoiceNo,Ref_WorkOrderID,ExportDate,DestinationCountry,CountryOfOrigin,Exporter_EORI,ProductID,ProductName,CN_Code,Quantity_pcs,NetWeight_kg,GrossWeight_kg,FOB_Value_USD
INV-EU-2024-00073,WO-2024-CS-00073,2024-01-16,Netherlands,Taiwan,TW2066765059,P-CS-BS-003,底盤懸吊臂襯套軸套,73269098,31964,8694.42,9333.7,44515
INV-EU-2024-00097,WO-2024-M10-00097,2024-01-16,Netherlands,Taiwan,TW2066405724,P-M10-BN-002,電動車電池模組固定螺母 M10,73181699,49387,839.59,881.57,3282
INV-EU-2024-00114,WO-2024-M12-00114,2024-01-16,France,Taiwan,TW2066725060,P-M12-EH-001,高強度引擎汽缸頭螺栓 M12,73181595,22003,1402.71,1512.73,10941
INV-EU-2024-00120,WO-2024-M12-00120,2024-01-16,Italy,Taiwan,TW2066198529,P-M12-EH-001,高強度引擎汽缸頭螺栓 M12,73181595,46708,2977.66,3211.2,9349
INV-EU-2024-00123,WO-2024-M10-00123,2024-01-16,Spain,Taiwan,TW2066772548,P-M10-BN-002,電動車電池模組固定螺母 M10,73181699,16169,274.89,288.63,1030
INV-EU-2024-00128,WO-2024-M10-00128,2024-01-16,France,Taiwan,TW2066279960,P-M10-BN-002,電動車電池模組固定螺母 M10,73181699,47429,806.31,846.63,6119
INV-EU-2024-00137,WO-2024-M10-00137,2024-01-16,Netherlands,Taiwan,TW2066623148,P-M10-BN-002,電動車電池模組固定螺母 M10,73181699,45960,781.32,820.39,3078
INV-EU-2024-00166,WO-2024-M10-00166,2024-01-16,Italy,Taiwan,TW2066511931,P-M10-BN-002,電動車電池模組固定螺母 M10,73181699,10477,178.11,187.02,721
INV-EU-2024-00171,WO-2024-M12-00171,2024-01-16,Netherlands,Taiwan,TW2066256796,P-M12-EH-001,高強度引擎汽缸頭螺栓 M12,73181595,45414,2895.18,3122.25,10191
INV-EU-2024-00176,WO-2024-CS-00176,2024-01-16,Netherlands,Taiwan,TW2066250439,P-CS-BS-003,底盤懸吊臂襯套軸套,73269098,36977,10057.87,10797.41,65476
INV-EU-2024-00054,WO-2024-CS-00054,2024-01-17,Netherlands,Taiwan,TW2066555546,P-CS-BS-003,底盤懸吊臂襯套軸套,73269098,47425,12899.6,13848.1,102809
INV-EU-2024-00056,WO-2024-M10-00056,2024-01-17,Germany,Taiwan,TW2066131045,P-M10-BN-002,電動車電池模組固定螺母 M10,73181699,20943,356.04,373.84,2125
INV-EU-2024-00075,WO-2024-M12-00075,2024-01-17,Netherlands,Taiwan,TW2066606905,P-M12-EH-001,高強度引擎汽缸頭螺栓 M12,73181595,33486,2134.75,2302.18,11100
INV-EU-2024-00080,WO-2024-M10-00080,2024-01-17,Italy,Taiwan,TW2066199180,P-M10-BN-002,電動車電池模組固定螺母 M10,73181699,31482,535.2,561.96,2124
INV-EU-2024-00081,WO-2024-CS-00081,2024-01-17,Netherlands,Taiwan,TW2066207023,P-CS-BS-003,底盤懸吊臂襯套軸套,73269098,39561,10760.78,11552,51328
INV-EU-2024-00082,WO-2024-M10-00082,2024-01-17,Italy,Taiwan,TW2066321465,P-M10-BN-002,電動車電池模組固定螺母 M10,73181699,36195,615.32,646.09,3267
INV-EU-2024-00084,WO-2024-CS-00084,2024-01-17,Germany,Taiwan,TW2066750110,P-CS-BS-003,底盤懸吊臂襯套軸套,73269098,45159,12283.42,13186.6,38692
INV-EU-2024-00085,WO-2024-M12-00085,2024-01-17,Spain,Taiwan,TW2066858998,P-M12-EH-001,高強度引擎汽缸頭螺栓 M12,73181595,42743,2724.92,2938.64,16976
INV-EU-2024-00094,WO-2024-M10-00094,2024-01-17,France,Taiwan,TW2066766970,P-M10-BN-002,電動車電池模組固定螺母 M10,73181699,22657,385.17,404.43,2222
INV-EU-2024-00100,WO-2024-CS-00100,2024-01-17,Germany,Taiwan,TW2066384617,P-CS-BS-003,底盤懸吊臂襯套軸套,73269098,47328,12873.39,13819.95,40551
INV-EU-2024-00104,WO-2024-M12-00104,2024-01-17,Germany,Taiwan,TW2066247446,P-M12-EH-001,高強度引擎汽缸頭螺栓 M12,73181595,16060,1023.86,1104.16,7535
INV-EU-2024-00111,WO-2024-M10-00111,2024-01-17,Italy,Taiwan,TW2066348967,P-M10-BN-002,電動車電池模組固定螺母 M10,73181699,21138,359.35,377.32,1836
INV-EU-2024-00127,WO-2024-CS-00127,2024-01-17,Spain,Taiwan,TW2066120883,P-CS-BS-003,底盤懸吊臂襯套軸套,73269098,25119,6832.47,7334.85,45504
INV-EU-2024-00132,WO-2024-CS-00132,2024-01-17,Spain,Taiwan,TW2066494427,P-CS-BS-003,底盤懸吊臂襯套軸套,73269098,49154,13369.91,14352.99,98135
INV-EU-2024-00154,WO-2024-M10-00154,2024-01-17,Germany,Taiwan,TW2066885972,P-M10-BN-002,電動車電池模組固定螺母 M10,73181699,10460,177.83,186.72,1017
INV-EU-2024-00155,WO-2024-CS-00155,2024-01-17,Netherlands,Taiwan,TW2066179992,P-CS-BS-003,底盤懸吊臂襯套軸套,73269098,28029,7624.02,8184.6,52072
INV-EU-2024-00167,WO-2024-M12-00167,2024-01-17,Spain,Taiwan,TW2066223433,P-M12-EH-001,高強度引擎汽缸頭螺栓 M12,73181595,42620,2717.06,2930.16,8314
INV-EU-2024-00172,WO-2024-CS-00172,2024-01-17,Germany,Taiwan,TW2066806147,P-CS-BS-003,底盤懸吊臂襯套軸套,73269098,44398,12076.45,12964.41,57000
INV-EU-2024-00185,WO-2024-M10-00185,2024-01-17,France,Taiwan,TW2066183064,P-M10-BN-002,電動車電池模組固定螺母 M10,73181699,32194,547.31,574.68,3393
INV-EU-2024-00197,WO-2024-M12-00197,2024-01-17,France,Taiwan,TW2066474906,P-M12-EH-001,高強度引擎汽缸頭螺栓 M12,73181595,39396,2511.5,2708.48,8639
INV-EU-2024-00072,WO-2024-M12-00072,2024-01-18,France,Taiwan,TW2066415063,P-M12-EH-001,高強度引擎汽缸頭螺栓 M12,73181595,36857,2349.66,2533.94,10596
INV-EU-2024-00074,WO-2024-CS-00074,2024-01-18,Spain,Taiwan,TW2066660016,P-CS-BS-003,底盤懸吊臂襯套軸套,73269098,30985,8428.05,9047.75,44078
INV-EU-2024-00078,WO-2024-M12-00078,2024-01-18,France,Taiwan,TW2066157311,P-M12-EH-001,高強度引擎汽缸頭螺栓 M12,73181595,31536,2010.46,2168.14,15822
INV-EU-2024-00079,WO-2024-M12-00079,2024-01-18,Netherlands,Taiwan,TW2066449880,P-M12-EH-001,高強度引擎汽缸頭螺栓 M12,73181595,12202,777.93,838.94,3461
INV-EU-2024-00083,WO-2024-CS-00083,2024-01-18,France,Taiwan,TW2066528277,P-CS-BS-003,底盤懸吊臂襯套軸套,73269098,45945,12497.11,13416.01,43614
INV-EU-2024-00087,WO-2024-CS-00087,2024-01-18,Germany,Taiwan,TW2066186621,P-CS-BS-003,底盤懸吊臂襯套軸套,73269098,12688,3451.2,3704.96,16013
INV-EU-2024-00105,WO-2024-M10-00105,2024-01-18,France,Taiwan,TW2066366848,P-M10-BN-002,電動車電池模組固定螺母 M10,73181699,37953,645.21,677.47,2890
INV-EU-2024-00124,WO-2024-M10-00124,2024-01-18,Germany,Taiwan,TW2066971272,P-M10-BN-002,電動車電池模組固定螺母 M10,73181699,23035,391.61,411.19,2486
INV-EU-2024-00125,WO-2024-M12-00125,2024-01-18,Germany,Taiwan,TW2066803647,P-M12-EH-001,高強度引擎汽缸頭螺栓 M12,73181595,36263,2311.82,2493.14,14726
INV-EU-2024-00129,WO-2024-CS-00129,2024-01-18,France,Taiwan,TW2066894496,P-CS-BS-003,底盤懸吊臂襯套軸套,73269098,12467,3391.21,3640.55,17566
INV-EU-2024-00136,WO-2024-M10-00136,2024-01-18,Netherlands,Taiwan,TW2066430914,P-M10-BN-002,電動車電池模組固定螺母 M10,73181699,23720,403.25,423.41,1657
INV-EU-2024-00152,WO-2024-M12-00152,2024-01-18,Germany,Taiwan,TW2066525827,P-M12-EH-001,高強度引擎汽缸頭螺栓 M12,73181595,31821,2028.62,2187.72,9067
INV-EU-2024-00153,WO-2024-CS-00153,2024-01-18,Germany,Taiwan,TW2066171550,P-CS-BS-003,底盤懸吊臂襯套軸套,73269098,14412,3920.18,4208.42,18424
INV-EU-2024-00161,WO-2024-CS-00161,2024-01-18,Germany,Taiwan,TW2066441070,P-CS-BS-003,底盤懸吊臂襯套軸套,73269098,16377,4454.61,4782.15,19600
INV-EU-2024-00163,WO-2024-M12-00163,2024-01-18,Netherlands,Taiwan,TW2066589398,P-M12-EH-001,高強度引擎汽缸頭螺栓 M12,73181595,25917,1652.24,1781.83,9533
INV-EU-2024-00168,WO-2024-M10-00168,2024-01-18,Netherlands,Taiwan,TW2066436578,P-M10-BN-002,電動車電池模組固定螺母 M10,73181699,19118,325.02,341.27,1703
INV-EU-2024-00175,WO-2024-M10-00175,2024-01-18,Netherlands,Taiwan,TW2066879853,P-M10-BN-002,電動車電池模組固定螺母 M10,73181699,21667,368.34,386.76,1919
